1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.530959	0.000000	2211.274792	0.006728	64878.6
1	-0.539809	0.000000	2211.274792	0.006674	25.4
2	-0.532816	0.000000	2211.274792	0.009628	26.5
3	-0.535869	1.000000	2110.762301	0.008353	26.2
4	-0.520258	2.000000	2018.990027	0.007560	26.3
5	-0.529747	3.000000	1934.865449	0.008876	26.0
6	-0.542755	2.032573	2016.134778	0.008158	26.4
7	-0.523458	2.905881	1942.483107	0.005847	26.2
8	-0.525834	1.945862	2023.753611	0.007849	26.4
9	-0.524327	2.942554	1939.507830	0.007318	26.2
10	-0.546402	3.848202	1868.818175	0.007683	26.0
11	-0.518261	2.910691	1942.092407	0.007086	26.9
12	-0.516990	3.910688	1864.130429	0.007477	27.9
13	-0.535783	4.901243	1792.839443	0.007773	25.7
14	-0.524476	5.901243	1726.194217	0.007591	26.4
15	-0.517319	4.934300	1790.554234	0.010540	26.1
16	-0.498505	4.205940	1842.294735	0.008734	26.5
17	-0.507067	3.238513	1915.825912	0.009256	26.4
18	-0.530455	4.238513	1839.917084	0.008667	26.1
19	-0.525529	5.238513	1769.794318	0.006850	26.5
20	-0.521180	4.271581	1837.509528	0.008582	26.1
21	-0.516344	5.271578	1767.566871	0.009551	25.9
22	-0.511976	6.271578	1702.753354	0.008686	26.2
23	-0.544382	7.271578	1642.524903	0.011144	26.7
24	-0.528334	8.271578	1586.411600	0.006622	26.3
25	-0.530638	9.271578	1534.005626	0.007535	26.0
26	-0.515725	9.715282	1511.845814	0.007827	26.1
27	-0.496939	10.538661	1472.376103	0.008496	26.3
28	-0.543310	11.538661	1427.126051	0.011394	25.7
29	-0.527473	10.571382	1470.850117	0.010036	26.5
30	-0.536696	11.571382	1425.692374	0.009608	28.5
31	-0.515603	12.571382	1383.224882	0.011096	27.4
32	-0.528323	13.571382	1343.214199	0.008054	27.1
33	-0.504999	14.571268	1305.457266	0.006521	26.3
34	-0.537666	15.562817	1270.054521	0.005745	26.0
35	-0.515216	16.562773	1236.244463	0.008563	26.6
36	-0.532684	17.562043	1204.209302	0.007186	26.3
37	-0.539014	16.615951	1234.496773	0.007539	26.5
38	-0.520745	17.615804	1202.532788	0.008714	26.0
39	-0.508581	17.034714	1220.904960	0.006607	28.7
40	-0.524213	16.067286	1252.769627	0.008599	28.5
41	-0.516954	16.797927	1228.553378	0.008909	26.9
42	-0.515054	17.233184	1214.567194	0.006910	26.5
43	-0.540673	16.267904	1246.025815	0.007788	26.7
44	-0.532258	15.306168	1279.032563	0.006474	26.4
45	-0.509706	16.306168	1244.747815	0.009372	26.2
46	-0.523862	15.338749	1277.885786	0.007835	26.3
47	-0.502168	14.480918	1308.781536	0.007006	26.3
48	-0.526243	15.480917	1272.905791	0.007967	27.4
49	-0.523012	16.461205	1239.596286	0.008663	27.1
50	-0.547749	17.461205	1207.366503	0.007295	29.0
51	-0.512830	16.493778	1238.519390	0.008743	27.3
52	-0.532830	15.526350	1271.322491	0.009287	27.4
53	-0.521640	14.558924	1305.910473	0.007835	26.1
54	-0.516530	15.555758	1270.299773	0.008281	26.4
55	-0.528016	16.555756	1236.475455	0.008805	26.1
56	-0.538743	15.901433	1258.400185	0.008540	27.5
57	-0.511740	16.901433	1225.198269	0.008413	27.6
58	-0.520787	15.934006	1257.290384	0.008562	27.2
59	-0.530652	16.934006	1224.146234	0.008998	27.6
60	-0.536842	16.991800	1222.284051	0.009359	26.2
61	-0.537805	17.991800	1190.936843	0.010049	27.8
62	-0.524202	17.024373	1221.236994	0.009662	27.8
63	-0.523686	17.643957	1201.656714	0.008932	26.7
64	-0.508036	16.676723	1232.505565	0.007141	27.2
65	-0.525889	17.676723	1200.638714	0.008414	27.8
66	-0.521989	16.714678	1231.265210	0.007353	27.7
67	-0.519550	17.714397	1199.470345	0.007420	28.4
68	-0.516226	18.712975	1169.309784	0.007447	26.1
69	-0.521599	19.712975	1140.588970	0.007823	26.0
70	-0.528851	20.712848	1113.248633	0.011060	25.9
71	-0.568191	21.712848	1087.185078	0.009772	25.5
72	-0.539500	21.074510	1103.679410	0.009915	26.1
73	-0.534749	20.111960	1129.519755	0.009681	26.0
74	-0.511726	19.144534	1156.739549	0.007906	26.0
75	-0.528520	18.177107	1185.303717	0.009380	25.8
76	-0.531637	17.209680	1215.314298	0.008494	26.2
77	-0.519079	18.209680	1184.319036	0.009358	25.8
78	-0.520690	19.205935	1154.973023	0.008460	29.3
79	-0.528649	19.364468	1150.436844	0.009170	26.4
80	-0.548399	20.364462	1122.624793	0.008455	26.1
81	-0.528834	19.397088	1149.507862	0.010522	26.2
82	-0.525672	18.429949	1177.703039	0.008685	26.1
83	-0.525866	17.462522	1207.325174	0.007085	25.4
84	-0.531688	18.462516	1176.731111	0.010814	26.2
85	-0.529218	19.462516	1147.649106	0.009073	25.5
86	-0.526243	18.495089	1175.760631	0.008066	25.7
87	-0.528654	19.443168	1148.198149	0.007774	25.7
88	-0.515553	20.443168	1120.492783	0.007196	27.8
89	-0.525122	21.443168	1094.092944	0.009761	26.7
90	-0.526611	22.340039	1071.451979	0.008340	26.6
91	-0.528703	21.644099	1088.937781	0.007453	26.1
92	-0.497959	22.644098	1063.987409	0.007444	25.9
93	-0.519136	21.678334	1088.064267	0.007611	25.8
94	-0.534533	20.715968	1113.165363	0.010676	25.7
95	-0.532757	19.750458	1139.539854	0.010335	26.3
96	-0.520826	18.783030	1167.250716	0.006690	26.1
97	-0.518635	19.756265	1139.377475	0.010387	26.8
98	-0.525120	18.788912	1167.078169	0.005621	26.9
99	-0.529462	17.821485	1196.161636	0.008475	26.4
100	-0.526004	18.022548	1189.998423	0.011408	26.9
101	-0.518113	17.055121	1220.250236	0.007650	25.7
102	-0.527567	16.096867	1251.770688	0.007962	25.9
103	-0.508047	16.876301	1226.011227	0.007533	25.6
104	-0.540832	17.875136	1194.510816	0.006008	26.7
105	-0.515965	18.792785	1166.964576	0.006688	29.1
106	-0.511451	17.828159	1195.956020	0.009367	26.7
107	-0.525951	16.968363	1223.038522	0.006789	28.4
108	-0.534188	16.011546	1254.656322	0.011125	27.5
109	-0.528454	17.011358	1221.655125	0.009487	26.1
110	-0.541227	16.043970	1253.558141	0.006453	25.6
111	-0.531804	15.495396	1272.400781	0.009005	25.8
112	-0.528503	16.405338	1241.447701	0.006518	25.3
113	-0.527101	15.439612	1274.348659	0.006829	26.4
114	-0.525652	14.472672	1309.085790	0.007412	27.1
115	-0.516145	13.505244	1345.788773	0.010805	27.2
116	-0.526330	14.505240	1307.885006	0.005847	26.3
117	-0.545813	13.715665	1337.631615	0.006552	25.9
118	-0.514487	14.715665	1300.179376	0.007769	26.0
119	-0.512841	15.715607	1264.769252	0.006593	25.5
120	-0.530215	16.678971	1232.432043	0.009068	25.9
121	-0.510152	15.717124	1264.717004	0.006666	26.5
122	-0.529615	16.717124	1231.185365	0.010471	27.6
123	-0.515146	15.749702	1263.595852	0.010544	27.5
124	-0.539742	14.782274	1297.759058	0.011807	27.7
125	-0.535974	13.814863	1333.820300	0.006617	25.9
126	-0.506771	12.847435	1371.943551	0.008392	25.6
127	-0.529965	11.882033	1412.223218	0.007385	26.0
128	-0.523526	12.882033	1370.542625	0.013446	25.7
129	-0.540328	13.882033	1331.251835	0.010092	27.1
130	-0.498443	12.914683	1369.223197	0.007769	27.3
131	-0.506276	13.802649	1334.288400	0.009494	26.2
132	-0.516550	13.628862	1340.984592	0.007465	25.9
133	-0.525834	12.662285	1379.489575	0.005823	26.9
134	-0.511263	13.662284	1339.691597	0.005647	26.8
135	-0.523890	12.694857	1378.156053	0.010923	29.3
136	-0.544860	12.415697	1389.669379	0.007618	26.6
137	-0.524057	13.415696	1349.290461	0.007503	25.8
138	-0.526317	12.463106	1387.700537	0.007793	26.4
139	-0.527377	13.463101	1347.434476	0.009313	26.0
140	-0.526586	12.495682	1386.350954	0.006300	25.4
141	-0.517379	13.495678	1346.161978	0.007130	26.2
142	-0.517195	12.824526	1372.872762	0.007129	25.8
